 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
3254,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,68.895,4.225,0,23,338.320,590.895,4,4
3255,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,38.713,0.168,0,11,275.003,144.656,4,4
3256,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,74.308,41.638,0,107,71.236,529.984,4,4
3257,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,43.667,0.546,0,5,463.452,547.728,4,4
3258,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,80.546,47.629,5,143,168.998,77.826,4,4
3259,FRET_Rec.tif:132-Other:c:4/6 - Sequence 001/T12_FRET023,70.822,0.312,0,11,214.773,59.406,4,4
3260,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.209,0.262,0,5,411.561,495.983,4,4
3261,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,56.786,0.202,0,5,46.744,391.358,4,4
3262,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,48.529,0.170,0,5,200.460,483.869,4,4
3263,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,78.619,10.366,0,47,308.915,605.305,4,4
3264,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,64.216,17.663,0,65,165.540,261.720,4,4
3265,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,58.896,0.734,0,17,146.015,190.979,4,4
3266,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,58.162,19.779,0,83,433.569,396.039,4,4
3267,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,53.208,19.521,0,59,424.659,73.174,4,4
3268,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,35.869,0.737,0,11,492.675,381.734,4,4
3269,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,47.704,0.269,0,5,503.549,118.528,4,4
3270,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,36.420,0.511,0,11,557.559,221.139,4,4
3271,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,49.997,14.528,0,53,532.763,469.186,4,4
3272,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,59.538,0.465,0,11,416.107,527.341,4,4
3273,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,41.190,5.521,0,23,88.954,261.757,4,4
3274,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,51.740,11.363,0,53,269.927,262.725,4,4
3275,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,49.905,0.289,0,11,196.947,11.341,4,4
3276,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.484,0.373,0,11,611.905,110.014,4,4
3277,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.668,0.654,0,11,338.407,577.891,4,4
3278,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,51.465,0.909,0,11,136.981,24.500,4,4
3279,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,51.006,0.540,0,11,324.178,589.497,4,5
3280,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,62.840,15.229,0,53,347.614,349.641,4,5
3281,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,47.612,2.066,0,23,50.502,459.270,4,5
3282,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,95.591,35.784,0,107,248.051,65.675,4,5
3283,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,58.162,34.655,0,125,269.835,243.250,4,5
3284,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,38.438,0.334,0,5,600.638,375.586,4,5
3285,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,71.372,26.851,0,83,340.908,388.262,4,5
3286,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,37.612,0.420,0,11,239.716,73.327,4,5
3287,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,51.281,7.637,0,35,219.857,459.523,4,5
3288,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,74.399,2.102,0,17,464.685,375.784,4,5
3289,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,45.135,1.209,0,11,599.643,15.184,4,5
3290,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,66.143,3.806,0,29,191.769,74.156,4,5
3291,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,63.116,0.346,0,11,403.325,604.641,4,5
3292,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,66.602,1.704,0,17,71.528,74.410,4,5
3293,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,90.637,10.168,0,47,566.369,13.471,4,5
3294,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.136,0.157,0,5,335.881,224.149,4,5
3295,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,41.374,0.169,0,11,448.741,143.086,4,5
3296,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,39.447,0.519,0,11,336.384,511.888,4,5
3297,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,48.988,0.577,0,11,442.728,471.872,4,5
3298,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,42.475,34.240,0,149,202.406,296.395,4,5
3299,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,69.445,1.186,0,17,435.296,173.290,4,5
3300,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,48.346,5.994,0,35,114.440,299.465,4,5
3301,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.044,0.699,0,11,179.819,261.039,4,5
3302,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,81.280,25.350,0,77,471.672,300.481,4,5
3303,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,32.934,0.554,0,17,33.025,359.399,4,5
3304,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,78.711,8.209,0,41,145.547,15.942,4,5
3305,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,55.501,22.122,0,71,511.397,176.310,4,5
3306,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,48.254,0.894,0,11,110.871,423.168,4,5
3307,FRET_Rec.tif:30-Positive:c:4/6 - Sequence 001/T22_FRET025,39.906,72.545,11,191,366.885,367.785,4,5
3308,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,66.877,18.136,0,59,96.502,25.009,4,5
3309,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,57.061,0.275,0,11,381.241,173.388,4,5
3310,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,40.823,0.481,0,11,391.581,554.871,4,5
3311,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,75.133,0.110,0,5,551.818,39.476,4,5
3312,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.319,0.405,0,11,513.664,357.062,4,5
3313,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,43.942,0.303,0,5,421.847,86.763,4,5
3314,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,34.952,5.822,0,35,242.100,58.487,4,5
3315,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.227,0.117,0,5,67.161,243.579,4,5
3316,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,114.305,28.295,0,95,131.513,428.638,4,5
3317,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.044,0.183,0,5,561.318,122.540,4,5
3318,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,49.263,3.864,0,23,507.740,571.948,4,5
3319,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,139.808,0.349,0,11,356.764,35.947,4,5
3320,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,55.226,40.756,0,131,74.788,341.496,4,5
3321,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,33.484,8.247,0,35,580.438,446.416,4,5
3322,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,56.327,0.303,0,11,498.003,175.355,4,5
3323,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,35.778,0.833,0,11,131.944,219.308,4,5
3324,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,50.456,1.044,0,11,514.532,438.773,4,5
3325,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,55.043,2.947,0,23,497.173,209.864,4,5
3326,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,69.170,0.347,0,11,611.818,369.475,4,5
3327,FRET_Rec.tif:51-Other:c:4/6 - Sequence 001/T22_FRET025,86.692,0.564,0,11,306.178,292.511,4,5
3328,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,49.171,0.675,0,17,118.938,133.222,4,5
3329,FRET_Rec.tif:53-Other:c:4/6 - Sequence 001/T22_FRET025,73.482,0.263,0,11,267.740,21.817,4,5
3330,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,118.617,13.920,0,65,438.744,609.863,4,5
3331,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,68.620,7.164,0,35,139.092,343.764,4,5
3332,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,43.300,0.161,0,11,404.379,346.086,4,5
3333,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,50.456,39.911,0,119,285.918,613.601,4,5
3334,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,53.300,0.277,0,11,420.402,492.186,4,5
3335,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,84.307,10.166,0,47,60.618,33.933,4,5
3336,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,36.053,0.229,0,5,468.945,238.477,4,5
3337,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,82.105,44.971,0,119,114.097,46.259,4,5
3338,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,37.154,10.736,0,47,298.105,593.588,4,5
3339,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,78.344,13.472,0,53,32.333,268.378,4,5
3340,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,56.052,0.296,0,11,52.867,413.260,4,5
3341,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T22_FRET025,55.318,34.723,0,113,116.123,183.601,4,5
3342,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T22_FRET025,38.071,0.386,0,5,362.825,229.094,4,5
